Entry Date,Resource,Name,Project,Status,Organization,Location,Billable,Temp,Client,Hours,Type
1/28/24 0:00,Role,Beau Naylor (A547773),Programmable modular structure (P006881-385),Approved,Launch Consulting,USA,No,No,Bashirian-Klein,3,Actual
1/4/24 0:00,Role,Karolina Degenhardt (J835942),Persistent non-volatile workforce (P007820-462),Unapproved,Launch Consulting,USA,No,Yes,Heathcote-Schaefer,6.1,Actual
1/29/24 0:00,Role,Saxe Broggini (M583544),Decentralized mission-critical alliance (P004827-958),Approved,Launch Consulting,USA,No,Yes,Crooks Group,4.8,Projected
12/7/23 0:00,Role,Teresa MacIlurick (Q114169),Synergized next generation pricing structure (P008402-631),Unapproved,Launch Consulting,USA,Yes,Yes,"McGlynn, McLaughlin and Stanton",3.3,Projected
12/5/23 0:00,Role,Chance Burbury (P750950),Phased empowering migration (P001307-657),Unapproved,Launch Consulting,USA,No,Yes,"McGlynn, McLaughlin and Stanton",5.2,Actual
11/27/23 0:00,Role,Alexandre Besantie (S731235),Assimilated coherent protocol (P005683-485),Approved,Launch Consulting,USA,No,No,"McGlynn, McLaughlin and Stanton",7.7,Actual
1/30/24 0:00,Role,Welsh Tagg (X369940),Polarised high-level function (P006565-771),Approved,Launch Consulting,USA,Yes,Yes,"Gleichner, Ledner and Rogahn",7.3,Projected
1/15/24 0:00,Role,Caresse Braisby (R493942),Quality-focused optimizing definition (P009583-231),Approved,Launch Consulting,USA,Yes,Yes,Stanton and Sons,5.1,Actual
1/21/24 0:00,Role,Ronald Gibbs (T068406),Configurable zero administration flexibility (P003359-187),Approved,Launch Consulting,USA,Yes,Yes,Hackett-Boehm,7.6,Projected
12/7/23 0:00,Role,Amalle D'Aubney (B015633),Optimized zero administration knowledge user (P002744-872),Unapproved,Launch Consulting,USA,No,Yes,"Bednar, Hermann and Cassin",4.9,Projected
12/12/23 0:00,Role,Laure Cockerell (Y718861),Multi-channelled upward-trending toolset (P003170-420),Approved,Launch Consulting,USA,No,Yes,Kuhlman Group,6.7,Projected
12/23/23 0:00,Role,Herminia Acory (L888181),Multi-channelled upward-trending toolset (P003170-420),Approved,Launch Consulting,USA,Yes,Yes,Kuhlman Group,3.6,Projected
12/31/23 0:00,Role,Tonye Mayzes (U268577),Multi-channelled upward-trending toolset (P003170-420),Approved,Launch Consulting,USA,No,Yes,Kuhlman Group,5.4,Actual
